"Sub-Sector","Super Region","Sub-Sector Level 2","Sector","Sub-Sector Level 3","Time Level","Unit","Source","Super Region","Value","Date Value","Period Value"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","493.030","2021-05-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","494.360","2021-04-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","490.060","2021-03-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","478.260","2021-02-28","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","466.070","2021-01-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","494.390","2020-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","503.350","2020-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","503.660","2020-10-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","491.080","2020-09-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","489.900","2020-08-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","494.150","2020-07-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","505.660","2020-06-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","518.370","2020-05-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","516.460","2020-04-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","514.300","2020-03-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","498.550","2020-02-29","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","485.990","2020-01-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","469.050","2019-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","476.530","2019-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","474.890","2019-10-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","460.370","2019-09-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","456.880","2019-08-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","458.460","2019-07-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","466.840","2019-06-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","476.060","2019-05-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","469.970","2019-04-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","463.280","2019-03-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","442.740","2019-02-28","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","425.140","2019-01-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","411.460","2018-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","418.160","2018-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","416.970","2018-10-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","404.480","2018-09-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","400.730","2018-08-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","409.330","2018-07-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","414.840","2018-06-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","433.280","2018-05-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","435.060","2018-04-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","423.450","2018-03-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","423.520","2018-02-28","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","419.900","2018-01-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","421.650","2017-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","453.050","2017-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","459.730","2017-10-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","469.590","2017-09-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","459.980","2017-08-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","483.410","2017-07-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","501.560","2017-06-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","516.810","2017-05-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","524.290","2017-04-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","538.600","2017-03-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","525.420","2017-02-28","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","506.800","2017-01-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","484.620","2016-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","490.730","2016-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","491.200","2016-10-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","471.540","2016-09-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","486.680","2016-08-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","493.460","2016-07-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","500.860","2016-06-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","511.860","2016-05-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","509.320","2016-04-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","504.810","2016-03-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","492.150","2016-02-29","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","471.770","2016-01-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","449.220","2015-12-31","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","455.990","2015-11-30","m"
"SHORT-TERM ENERGY OUTLOOK","GLOBAL DATA","UNITED STATES","ENERGY, OIL & GAS","CRUDE OIL INVENTORY (EXCLUDING SPR)","MONTHLY","MILLION BARRELS, END-OF-PERIOD","U.S.ENERGY INFORMATION ADMINISTRATION","GLOBAL DATA","455.210","2015-10-31","m"
